Project Phase Name,Start Date, End Date,Project Duration,Project Budget Amount,EAC,Overrun,Budget overrun / Saved %
Design,03/03/2021,27/03/2023,754,680484,806590,1,0.19
Scope,03/03/2023,03/09/2023,184,6490,2320,0,-0.64
Design,03/09/2023,05/03/2023,182,29205,9279,0,-0.68
Scope,06/02/2020,26/06/2020,141,4926,3868,0,-0.21
Design,26/06/2020,22/12/2020,179,22168,15470,0,-0.30
Scope,18/05/2020,09/03/2020,70,10937,29938,1,1.74
Design,14/10/2020,28/07/2021,287,49214,119751,1,1.43
Scope,18/12/2023,26/06/2024,191,43453,70973,1,0.63
Design,07/08/2024,15/05/2025,281,202780,141342,0,-0.30
Scope,31/05/2023,25/10/2023,147,61287,86547,1,0.41
Design,20/12/2023,01/08/2025,590,276053,188429,0,-0.32
Scope,22/05/2023,06/06/2023,15,4010,678,0,-0.83
Design,06/06/2023,16/08/2023,71,18045,2712,0,-0.85
Scope,10/07/2022,27/01/2023,201,218792,265997,1,0.22
Design,02/09/2023,29/11/2023,88,1093958,521427,0,-0.52
Scope,13/02/2025,04/10/2025,233,1387,390,0,-0.72
Scope,28/07/2021,18/08/2021,21,6205,8646,1,0.39
Design,18/08/2021,22/12/2021,126,27922,34582,1,0.24
Scope,15/11/2024,31/01/2025,77,600768,342935,0,-0.43
Design,02/03/2025,07/01/2025,54,2803584,1213833,0,-0.57
Scope,01/10/2018,26/03/2018,189,11151,11151,1,0.00
Scope,03/03/2021,13/09/2021,194,119974,168831,1,0.41
Design,28/09/2021,01/10/2023,733,599870,477457,0,-0.20
Scope,14/03/2023,20/06/2023,98,38921,67723,1,0.74
Design,14/07/2023,14/05/2024,305,181631,185014,1,0.02
Scope,03/01/2024,07/01/2024,4,118584,84442,0,-0.29
Design,22/07/2024,06/03/2025,227,568452,191663,0,-0.66
Scope,20/04/2021,08/03/2021,43,83510,160712,1,0.92
Design,08/05/2021,04/06/2022,392,417550,648561,1,0.55
Construction,18/07/2022,04/11/2025,1205,9394875,8673540,0,-0.08
Scope,30/06/2021,01/10/2022,458,18617,18617,1,0.00
Design,14/01/2022,03/10/2025,1358,28692,28692,1,0.00
Scope,22/05/2020,27/10/2020,158,13482,33055,1,1.45
Design,16/11/2020,28/07/2021,254,60669,132315,1,1.18
Scope,06/07/2023,10/04/2023,87,88046,79717,0,-0.09
Design,30/10/2023,22/04/2024,175,431183,177703,0,-0.59
Scope,21/07/2022,08/10/2022,79,5368,4012,0,-0.25
Design,08/10/2022,18/01/2023,102,24157,16045,0,-0.34
Scope,02/12/2020,04/11/2022,702,217910,247931,1,0.14
